Name,key_mlbam,PA,wOBA,xwOBA,sxwOBA,diff,diff%,BB%,K%,HR,LA,Barrels,pulled_barrels,year
Ha-seong Kim,673490,582,0.313,0.324,0.325,0.002,0.49,8.8,17.2,11,16.1,18.0,11,2022
Seiya Suzuki,673548,446,0.334,0.342,0.344,0.002,0.73,9.4,24.7,14,11.2,32.0,6,2022
Josh Jung,673962,102,0.28,0.293,0.274,-0.019,-6.57,3.9,38.2,5,14.3,6.0,2,2022
Kevin Smith,675656,151,0.226,0.247,0.24,-0.007,-2.95,4.6,27.8,2,16.4,8.0,3,2022
Canaan Smith-Njigba,675986,7,0.381,0.418,0.457,0.038,9.19,14.3,0.0,0,0.7,1.0,0,2022
Nelson Velazquez,676369,206,0.291,0.307,0.309,0.002,0.75,9.2,31.6,6,12.3,16.0,7,2022
Alec Burleson,676475,53,0.245,0.323,0.345,0.022,6.66,9.4,17.0,1,4.0,4.0,0,2022
Jose Barrero,676480,174,0.183,0.173,0.184,0.011,6.07,5.2,43.7,2,17.7,2.0,0,2022
Jake Meyers,676694,160,0.258,0.256,0.251,-0.005,-1.96,4.4,33.8,1,7.2,5.0,0,2022
Alan Trejo,676701,125,0.321,0.281,0.311,0.03,10.58,4.0,24.8,4,13.6,4.0,2,2022
Chas McCormick,676801,407,0.326,0.336,0.315,-0.02,-6.09,11.3,26.0,14,12.8,26.0,2,2022
Wander Franco,677551,344,0.323,0.336,0.343,0.007,1.99,7.6,9.6,6,8.2,13.0,0,2022
Julio Rodriguez,677594,560,0.366,0.377,0.37,-0.007,-1.99,7.1,25.9,28,10.1,48.0,21,2022
Ezequiel Duran,677649,220,0.282,0.272,0.276,0.003,1.15,5.5,24.5,5,9.5,7.0,3,2022
Alek Thomas,677950,411,0.272,0.278,0.279,0.0,0.13,5.4,18.0,8,2.6,12.0,0,2022
Bobby Witt Jr.,677951,632,0.311,0.324,0.323,-0.0,-0.15,4.7,21.4,20,16.8,40.0,21,2022
Ji Hwan Bae,678225,37,0.37,0.293,0.287,-0.006,-1.92,5.4,16.2,0,4.4,0.0,0,2022
Miguel Vargas,678246,50,0.2,0.244,0.245,0.0,0.18,4.0,26.0,1,25.9,3.0,0,2022
Ezequiel Tovar,678662,35,0.261,0.31,0.282,-0.029,-9.2,5.7,25.7,1,8.5,3.0,1,2022
Spencer Torkelson,679529,404,0.272,0.302,0.309,0.007,2.41,9.2,24.5,8,15.0,22.0,6,2022
Terrin Vavra,679631,103,0.303,0.328,0.316,-0.012,-3.59,11.7,18.4,1,10.7,1.0,0,2022
Steven Kwan,680757,638,0.341,0.33,0.335,0.005,1.63,9.7,9.4,6,11.8,7.0,0,2022
Jarren Duran,680776,223,0.284,0.309,0.287,-0.022,-6.99,6.3,28.3,3,7.6,11.0,0,2022
Ryan Jeffers,680777,236,0.287,0.317,0.316,-0.001,-0.41,9.7,26.3,7,18.2,20.0,6,2022
Owen Miller,680911,472,0.287,0.301,0.302,0.001,0.45,6.8,19.7,6,10.1,12.0,5,2022
Brendan Donovan,680977,468,0.349,0.35,0.358,0.008,2.21,12.8,15.0,5,6.0,11.0,0,2022
Bryson Stott,681082,466,0.289,0.296,0.296,-0.0,-0.0,7.7,19.1,10,13.1,15.0,0,2022
Logan O'Hoppe,681351,16,0.307,0.274,0.261,-0.013,-4.61,12.5,18.8,0,24.6,0.0,0,2022
Kerry Carpenter,681481,113,0.342,0.296,0.288,-0.008,-2.66,5.3,28.3,6,14.5,8.0,0,2022
James Outman,681546,16,0.584,0.333,0.358,0.025,7.61,12.5,43.8,1,16.5,0.0,0,2022
David Villar,681584,181,0.344,0.293,0.287,-0.006,-2.04,9.9,32.0,9,17.8,9.0,3,2022
Nate Eaton,681987,122,0.313,0.323,0.311,-0.012,-3.68,8.2,24.6,1,13.6,4.0,1,2022
David Hensley,682073,34,0.44,0.337,0.365,0.028,8.3,14.7,17.6,1,-0.4,1.0,0,2022
Francisco Alvarez,682626,14,0.336,0.195,0.103,-0.093,-47.32,14.3,28.6,1,15.3,3.0,0,2022
