,Name,PA,wOBA,xwOBA,sxwOBA,diff,diff %,BB%,K%,HR,LA,Barrels,pulled_barrels
167,Christian Arroyo,300,0.319,0.34,0.327,-0.013,-3.92,4.3,16.3,6,9.1,15.0,4
168,Cavan Biggio,303,0.302,0.309,0.319,0.01,3.1,12.5,28.1,6,19.6,12.0,0
169,Adam Frazier,602,0.274,0.284,0.293,0.01,3.35,7.6,12.1,3,13.6,7.0,0
170,Jose Trevino,353,0.293,0.304,0.294,-0.01,-3.16,4.2,17.6,11,13.0,14.0,7
171,Nick Gordon,443,0.321,0.331,0.325,-0.007,-2.02,4.3,23.7,9,12.5,29.0,0
172,Reese McGuire,274,0.297,0.282,0.301,0.019,6.64,4.4,20.4,3,14.1,5.0,0
173,Jorge Soler,306,0.305,0.337,0.334,-0.003,-0.89,10.1,29.4,13,13.7,22.0,12
174,Edmundo Sosa,190,0.282,0.3,0.296,-0.004,-1.49,2.6,26.3,2,11.4,7.0,2
175,Jake Cronenworth,684,0.318,0.312,0.314,0.002,0.79,10.2,19.2,17,18.1,26.0,0
176,Austin Meadows,147,0.307,0.376,0.365,-0.012,-3.12,10.9,11.6,0,17.2,7.0,0
177,Jose Azocar,216,0.278,0.273,0.277,0.004,1.6,5.6,20.4,0,9.4,4.0,0
178,Tim Anderson,351,0.323,0.347,0.348,0.001,0.35,4.0,15.7,6,3.3,16.0,1
179,Cody Bellinger,550,0.284,0.287,0.286,-0.001,-0.4,6.9,27.3,19,20.3,30.0,0
180,Willie Calhoun,62,0.249,0.293,0.281,-0.012,-4.12,14.5,12.9,1,14.2,1.0,0
181,J.P. Crawford,603,0.306,0.322,0.336,0.014,4.29,11.3,13.3,6,8.9,9.0,0
182,Jason Delay,167,0.243,0.243,0.238,-0.004,-1.76,5.4,29.9,1,15.7,2.0,1
183,Brandon Dixon,14,0.216,0.262,0.257,-0.005,-1.81,0.0,35.7,0,20.2,0.0,0
184,Hunter Dozier,500,0.298,0.32,0.317,-0.004,-1.18,6.8,25.0,12,13.1,26.0,13
185,Jake Fraley,247,0.352,0.352,0.357,0.006,1.57,10.5,21.9,12,13.8,12.0,0
186,Mitch Garver,215,0.308,0.325,0.338,0.014,4.26,10.7,24.7,10,18.4,12.0,9
187,Luis Guillorme,335,0.311,0.309,0.327,0.018,5.82,10.1,13.7,2,4.3,6.0,0
188,Garrett Hampson,226,0.267,0.271,0.267,-0.004,-1.4,9.3,27.9,2,10.2,6.0,2
189,Jonah Heim,450,0.306,0.315,0.324,0.009,2.82,9.1,19.3,16,16.9,22.0,5
190,Kyle Lewis,62,0.239,0.294,0.281,-0.013,-4.48,8.1,30.6,3,16.9,4.0,3
191,Tim Locastro,46,0.259,0.316,0.324,0.008,2.44,4.3,15.2,2,11.8,2.0,2
192,Trey Mancini,587,0.312,0.336,0.344,0.008,2.33,9.0,23.0,18,12.7,37.0,12
193,Ryan McMahon,597,0.326,0.337,0.327,-0.01,-3.01,10.1,26.5,20,10.8,39.0,0
194,Tyler O'Neill,383,0.307,0.322,0.322,0.0,0.03,9.9,26.9,14,13.6,27.0,9
